Questions,Correct,A,B,C,D
"What did the CERN laboratory in Geneva, Switzerland, produce for the first time in 1996?", Antimatter,Antimatter,An atom without electrons,A black hole,An atom without protons
What does the branch of physics called atomic physics study?, The atom as an isolated system of electrons and a nucleus,All of these,The atom as an isolated system of electrons and a nucleus,Nuclear power,Relations between atoms and their arrangement in compounds
What happens to an electron that has absorbed a certain amount of energy which is though less than the energy necessary to remove it from the atom?, Goes into excited state,Goes into excited state,Nothing,Decays,Explodes
How are the orbits in which the electrons of the atom reside called?, Electron shells,Electron shells,Electron orbits,Electron paths,Electron circles
"In chemistry and physics, what do we call free radicals?", Atoms with at least one unpaired electron,Atoms free of electrons,Atoms not part of a molecule,Atoms with at least one unpaired electron,Atom freely floating in space
How is an atom having the valance of 1 called?, Monad,Nucleuid,Mono particle,Monotom,Monad
Which of the following cannot affect the energy levels of the electrons of an atom?, All of these can affect the energy levels,Absorption of energy from light (photons),Magnetic field,All of these can affect the energy levels,Mechanical collision between particles
In atomic physics what does the term magnetic moment refer to?, The magnetic field produced by an atom,The moment in which an atom enters a magnetic field,A miniature slice of time in an atoms magnetic interaction with other particles,The magnetic field produced by an atom,The moment in which an atom becomes magnetized
For the purposes of their experiments how do physicists slow down atoms in order to study them better?, By laser cooling,With liquid nitrogen,By laser cooling,In special refrigerators,By bombarding them with micro particles
"In atomic physics, which atoms are called exotic atoms?", Atoms in which a sub-atomic particle has been replaced by another particle of the same charge,Atoms that occur on other planets of the Solar System but not on Earth,Atoms in which a sub-atomic particle has been replaced by another particle of the same charge,Magnetized atoms,Atoms that occur on Earth naturally very rarely
When a hydrogen atom loses its electron it might form which of the following?, A proton,A proton,A neutron,A lepton,A quark
Which of the following components of the atom is not considered an elementary particle?, Proton,Proton,Quark,Electron,Gluon
In nuclear physics what is a radionuclide?, An atom with an unstable nucleus characterized by excess energy,A nucleus separated from the atom by radioactive processes,None of these,Two radioactive atoms in a molecule,An atom with an unstable nucleus characterized by excess energy
"In physics and chemistry, which isotopes are considered stable?", Isotopes that are not radioactive,Isotopes that are in a bond,Isotopes that are not radioactive,"Isotopes in which the number of electrons, protons and neutrons is equal",Isotopes that do not form bonds
What does the word tornado literally mean?, Thunderstorm,Devil,Death,Danger,Thunderstorm
What does the term tornado family denote?, A series of tornadoes,A family that had suffered damages caused by a tornado,A series of tornadoes,A class of tornadoes,Quarrelsome family
"What is the name of the tornado that occurred on March 18, 1925 and became the deadliest in U.S. history?", Tri-State Tornado,Oklahoma City Tornado,Great Natchez Tornado,1896 St. Louis – East St. Louis tornado,Tri-State Tornado
What is the name of the scale that is used to rate the intensity of tornadoes?, Fujita scale,Dmitriev scale,Fujita scale,Richter scale,Saccitoni scale
What is the common shape of large single-vortex tornadoes?, Wedge tornadoes,Funnel tornadoes,Stovepipe tornadoes,Rope tornadoes,Wedge tornadoes
The vast majority of tornadoes in the world occur in the Tornado Alley region which is located in this country., The United States,The United States,Indonesia,Mexico,Australia
Which of these is a common myth concerning the damages caused by a tornado to a house?, Opening the windows will lessen the damages.,Having trees and shrubs around the house will lessen the damages.,Opening the windows will lessen the damages.,Tornadoes spare houses painted in orange.,All of these
What word is commonly used to refer to the central area of the tornado?, Eye,All of these,Eye,Heart,Navel
The horse of what fictional hero is called Tornado?, Zorro,Don Quixote,Zorro,Don Juan,dArtagnan
What actress starred in the 1996 disaster movie Twister?, Helen Hunt,Meg Ryan,Helen Hunt,Jodie Foster,Michelle Pfeiffer
By what name was the closest planet to the Sun called by the Greeks?, Hermes,Kokhav Hamah,Hermes,Hermaon,Mercury
What is Calores Montes?, a range of mountains on Mercury,a large crater on Mercury,a tall mountain on Mercury,a volcano on Mercury,a range of mountains on Mercury
What is Mercurys spin-orbit resonance?, 3:2,1:1,8:5,3:4,3:2
What is the planet Uranus named after?, The Greek god of the sky,The Egyptian god of the sky,The Roman god of the sky,The Greek god of the sky,The Babylonian god of the sky
How many years does it take for the planet Uranus to orbit the Sun once?, 84,104,64,84,44
What element comprises the bulk of Uranus atmosphere?, Hydrogen,Ozone,Carbon Dioxide,Hydrogen,Helium
How many separate rings does the planet Uranus have according to observations made with the Hubble Space Telescope in 2005?, 13 rings,7 rings,Uranus does not have any rings.,13 rings,5 rings
Which is the largest of Uranus moons?, Titania.,Titania.,Miranda.,Ariel.,Oberon.
Name the 1962 film about the planet Uranus?, Journey to the Seventh Planet,Meet me on Uranus,Journey to the Seventh Planet,Escaping the Blue Planet,I Love Uranus
Uranus was renamed Urectum in what animated TV Series?, Futurama,Futurama,The Simpsons,The Family Guy,American Dad
What is the name of the Japanese dried seaweed sheets used in the preparation of sushi?, Nori,Onigiri,Sashimi,Yakisoba,Nori
Why will worms not live in seaweed fertilizer?, Because of its high salt content,Because it contains antibiotics that repulse them,Because of its high salt content,All of these,Because it is acidic
Kelp ash is used in the production of which of the following?, Glass,Plastic,Glass,Rubber,Teflon
What important advantage does algal fuel possess?, All of these,It is relatively environmentally harmless.,It is biodegradable.,It produces much more energy than second-generation biofuel crops.,All of these
Marine algae may have this effect on the human body., Laxative effect,All of these,Laxative effect,May act as opiates,Increase the cholesterol levels
What process does the edible seaweed called Wakame accelerate according to studies?, Burning of fat,Healing of wounds,Cell growth,Burning of fat,Delivery of the baby
The edible seaweed Irish moss contains this essential mineral used in the prevention and treatment of goiter., Iodine,Potassium,Calcium,Iodine,Sulfur
"What name is commonly used to refer to the edible seaweed Caulerpa lentillifera, also known as sea grapes?", Green caviar,Marine eggs,Green caviar,Sea corn,All of these
What medical condition is the chlorella algae beneficial for?, All of these,All of these,High cholesterol levels,Radiation exposure,High blood pressure
What important mineral is sea lettuce especially rich in?, Iron,Iron,Magnesium,Copper,Potassium
What did Charles Darwin major in at the University of Edinburgh where he joined his older brother in October 1825?, Medicine,Geography,Natural history,Marine biology,Medicine
"Charles Darwin had a passion for this popular hobby, which was introduced to him by his cousin William Darwin Fox.", Collecting beetles,Collecting herbs,Collecting beetles,Painting,Fowling
"Charles Darwin was neglecting his studies at the University of Edinburgh, so his father sent him to Cambridge to get a Bachelor of Art degree, as the first step towards what profession?", Priest,Teacher,Medical doctor,Priest,Artist
What was Charles Darwin disgusted with while in Brazil during the second voyage of HMS Beagle?, Slavery,Racism,Slavery,Animal sacrifices,Live animal skinning
"In what country did Charles Darwin experience an earthquake, leading him to form a theory on the movements of the Earths crust?", Chile,Australia,France,South Africa,Chile
What was the supposed reason for Charles Darwins health problems that started in 1837?, Overwork,Allergy,Depression,A mysterious disease that he caught during his first voyage,Overwork
"Which of these statements is true about Charles Darwins wife, Emma Wedgwood?", She was known for her charity work,She was Charles second cousin,She was two years older than Charles,She was known for her charity work,She was quick-tempered and often argued with her husband
Charles Darwin and his wife Emma survived the death of this child of theirs., All of these,Charles Waring Darwin,Mary Eleanor Darwin,All of these,Anne Elizabeth Darwin
"Who was Charles Darwins second son and fifth child, who became a prominent astronomer and mathematician?", George Howard Darwin,Leonard Darwin,George Howard Darwin,Francis Darwin,William Erasmus Darwin
"What impressive physical characteristic did Charles Darwin possess, which made the Bank of England use his image for the ten pound note in 2000?", Large beard,Distinctive eyes,Very big ears,Unique nose,Large beard
What natural therapy works best for seasonal depression and low moods due to sleep deprivation?, Bright light therapy,Water therapy,Bright light therapy,Aromatherapy,Massage
"What type of fish contains the valuable Omega-3 fatty acids, proven to fight depression and improve overall health?", Cold-water fish,Marine fish,Bony fish,Cartilaginous fish,Cold-water fish
What mineral present in some mineral waters is used as a cure for different types of depression?, Lithium,Copper,Aluminium,Vanadium,Lithium
What spice possesses antidepressant properties?, Saffron,Saffron,Black pepper,Chilli,Nutmeg
Listening to what type of music is recommended for people who suffer from mood disorders?, Soft music,Loud music,Soft music,Jazz,Rock and roll
"What type of food is rich in tryptophan, and therefore prevents and cures depression?", All of these,Nuts,Dairy,Meat,All of these
What is the best location to exercise in order to fight depression according to studies?, Outdoors,In a gym,In the bathroom,In your home,Outdoors
Which of these substances and minerals is not effective in the treatment of depression?, Sodium,Sodium,Zinc,Magnesium,Dopamine
What animals are used in the treatment of mood disorders such as depression?, All of these,Parrots,Dolphins,All of these,Dogs
Bathing in what type of water is proven to battle depression and enhance the mood?, Cold water,Hot water,Mineral water,Cold water,Water with temperature close to that of the human body
What fields did the science of alchemy originally combine?, All of these,Metallurgy and astrology,All of these,Chemistry and medicine,Art and physics
What element was usually the subject of transformation in alchemy?, Lead,Copper,Lead,Lithium,Tin
Alchemists were in search of ‘panacea’. What is panacea?, Remedy for all ailments,The meaning of life,Remedy for all ailments,The Holy Grail,A piece of Jesus Christ’s cross
What was the special magic power of the philosophers stone that alchemists were searching for?, It would give them unprecedented knowledge.,It would bring them luck and happiness.,It would grant them eternal life.,All of these,It would give them unprecedented knowledge.
Until what century was alchemy considered a serious science in Europe?, 16th century,14th century,13th century,18th  century,16th century
What is the word ‘alchemy’ generally believed to mean literally?, The art of transformation,The art of transformation,All in one,All is possible,The transfusion of matter
In what Asian country did one of the two main branches of alchemy originate?, China,India,Saudi Arabia,China,Japan
"What scientist is believed to have been the first true alchemist in Medieval Europe, as well as the most significant?", Roger Bacon,Isaac Newton,Roger Bacon,Thomas Aquinas,Galileo Galilei
Who is the author of the 1988 book ‘The Alchemist’?, Paulo Coehlo,J. K. Rowling,Umberto Eco,Terry Pratchett,Paulo Coehlo
What did alchemists associate the planets with?, Metals,Women,Animals,Metals,Dreams
"If I weighed 100 pounds(45.5 Kilograms) on Earth, about how much would I weigh on Mars?", 37.7 Pounds(17.1 Kilograms),90.7 Pounds(41.2 Kilograms),48.6 Pounds(22.1 Kilograms),37.7 Pounds(17.1 Kilograms),88.9 Pounds(40.4 Kilograms)
Mars lower density and size gives it a mass about how much that of Earth?, 1/10,1/6,1/8,1/2,1/10
Early amphibians such as Icthyostega evolved during what geological period?, Devonian,Silurian,Carboniferous,Permian,Devonian
During what geological period did the earliest vascular plants evolve?, Silurian,Devonian,Cretaceous,Silurian,Cambrian
When did the first grasses evolve?, 55 million years ago,55 million years ago,35 million years ago,65 million years ago,200 million years ago
"It has been proposed that before the evolution of leaves, plants had the photosynthetic apparatus on which parts?", stems,stems,roots,buds,none of these
Endorphins are some of the so-called hormones of happiness. In what situations does our body choose to start producing endorphins?, All of these,All of these,When we feel pain,When we are dying,In times of exhilaration
"Adrenaline, or epinephrine, is one of the stress hormones our bodies produce. What is the effect of adrenaline on the human body?", All of these,It dilates pupils.,It increases the blood sugar levels.,All of these,It suppresses the immune system.
More and more people are choosing replacement therapies with human growth hormones. What are the effects of such therapies on the body?, All of these,All of these,Less body fat,Stronger immune system,Younger skin
Oxytocin is an important hormone for the human body especially for women. What is it responsible for?, Contractions of the uterus,Contractions of the uterus,Development of the uterus,Development of the ovaries,Ovulation
"Weve all heard about the importance of insulin, but where does its name come from?"," It comes from the Latin insula, which means island.",It means that it is produced inside the body.,Its name means reduces sugar in Greek.,"It comes from the Latin insula, which means island.",Insulin means sugar in Latin.
The production of the hormone melatonin is inhibited by light and permitted by darkness. In which part of the body is it produced?, All of these,Gastrointestinal tract,All of these,Retina,Pineal gland
Testosterone is a male hormone secreted in the testes in males and ovaries in females. Its deficiency is related to various disorders such as this one., Alzheimer’s Disease,All of these,Blindness,Alzheimer’s Disease,Melanoma
Which of these statements is true about the female hormone estrogen?, All of these,It reduces muscle mass.,All of these,It decreases height growth.,It speeds up metabolism.
"Progesterone, the hormone of pregnancy, is synthesized in this part of the body.", All of these,In the ovaries,All of these,In the placenta,In the brain
"Which of these statements is true about cortisol, a hormone produced by the cortex of the adrenal glands?", All of these,Makeup decreases cortisol levels.,Lack of sleep increases cortisol levels.,Caffeine increases cortisol levels.,All of these
How fast have winds on Jupiter blown?, 430 Kilometers per hour(267 Miles per hour),430 Kilometers per hour(267 Miles per hour),240 Kilometers per hour(150 Miles per hour),470 Kilometers per hour(292 Miles per hour),360 Kilometers per hour(223 Miles per hour)
How many natural satellites does Jupiter have?, 63,18,56,63,60
How large can Jupiter appear in the Earths sky?, 50 arcseconds,35 arcseconds,50 arcseconds,55 arcseconds,40 arcseconds
How oblate is Saturn?, .1,.07,.11,.1,.08
Which insects does the science called Coleopterology study?, Beetles,Beetles,Mosquitoes,Mantises,Parasitic insects
What animals does malacology study?, Mollusks,Jellyfish,Monotremes,Mollusks,Arthropods
What does carcinology study?, Crustaceans,Malignant tumors in animals and humans,The outer shells of invertebrates and reptiles,Crustaceans,"Crabs, lobsters, and crayfish"
Which of the following groups of animals does helminthology study?, Parasitic worms,External parasites,Oviparous animals,Symbiotic animal species,Parasitic worms
The science known as theriology or therology studies which of the following?, Mammals,Land animal species,Carnivorous animals,Mammals,Endemic animal species
The science called myrmecology deals with the study of which of the following?, Ants,Wasps,Ants,Centipedes,Insects
Ichthyology is a branch of biology that deals with which of these?, Fish,All of these,Amphibians,Fish,Water animals
What is the subject of study of the science called oology?, Eggs,Animal reproductive organs,Bird feathers,Eggs,Eels
Which of these animals does dipterology study?, Flies,Flies,Moles,Foxes,Lizards
In which part of the digestive system are the so-called Brunners glands located?, Duodenum,Stomach,Colon,Small intestine,Duodenum
What type of duct is the Whartons duct found in the human body?, Salivary duct,Tear duct,Salivary duct,Sweat duct,Bile duct
What type of cells are Betz cells that are found in the human body?, Neurons,Epithelial cells,Neurons,Striated muscle cells,Melanocytes
The so-called space of Disse is located in this internal organ of the human body., Liver,Liver,Spleen,Pancreas,Kidney
In what part of the human body are Von Ebners glands located?, Tongue,Skin,All of these,Nasal cavity,Tongue
In which gland of the human body can Hurthle cells be found?, Thyroid gland,Thyroid gland,Thymus gland,Adrenal gland,Pituitary gland
The pores of Kohn are organs located in this part of the human body., Lungs,Skin,Tongue,Intestines,Lungs
The meibomian glands are special sebaceous glands located in this part of the human body., Eyelids,All of these,Ear canals,Eyelids,Lips
In which part of the human body are Sharpeys fibers found?, All of these,Skull,Bones,All of these,Teeth
What human internal organ contains Luschkas crypts?, Gallbladder,Uterus,Urinary bladder,Stomach,Gallbladder
"According to scientific classifications, to which kingdom do fungi belong?", None of these,To both the animal and the plant kingdom,The animal kingdom,The plant kingdom,None of these
Fungi take important part in which phase of the nutrient cycling and exchange?, Organic matter decomposition,Organic matter formation,Organic matter recomposition,Organic matter decomposition,All of these
How is the discipline of biology dedicated to the study of fungi called?, Mycology,Fungitics,Myology,Mycology,Fungology
Fungi are crucial for the production of which of these foods?, Bread,Ketchup,Bread,Cheese,Creme
Fungi and their products are involved in the process of production of which of these goods?, All of these,Detergents,All of these,Opiates,Antibiotics
What is the main difference between fungi and plants when cell structure is considered?, Fungi do not have cellulose in their cell walls,Fungi do not have cellulose in their cell walls,Fungal cells contain membrane-bound nuclei,Fungi lack ribosomes,Fungi lack mitochodria
For which of these global tendencies in nature are fungi responsible?, Decline of amphibian populations,Water poisoning,Decline of tree populations,Decline of amphibian populations,Global warming
"In nature, fungi are known tp form symbiotic relationships with which of these organisms?", All of these,Plants,Algae,Insects,All of these
How do fungi reproduce?, All of these,Asexually,By spore dispersal,Sexually,All of these
"A fungus of the Armillaria ostoyae genus, discovered in the Malheur National Forest in the Strawberry Mountains of eastern Oregon, U.S. is often cited as which of these?", The largest living organism,The oldest living organism,The largest living organism,The fastest-growing living organism,The smallest living organism
"What kind of therapy is the Tui na, used in traditional Chinese medicine?", Massage,Sauna,Music therapy,Massage,Tea therapy
What part of the human being is the shen according to traditional Chinese medicine?, Soul,Breath,Bodily fluids,Heart,Soul
"What positive effect do shiitake mushrooms, largely used in traditional Chinese medicine, have on human health?", All of these,They boost the immune system.,They prevent cancer.,They lower cholesterol.,All of these
"Ginseng is widely used in traditional Chinese medicine. What is the meaning of the Chinese phrase renshen, from which the English word ginseng originated?", Man root,Man root,Power root,Fast growing,Promoting life
Which of these methods is used in traditional Chinese medicine to diagnose conditions and diseases?, All of these,Listening to the patients voice,All of these,Exploring the patients body odors,Checking the patients hair
"What traditional Chinese food is believed to improve the skin and the function of the spleen, and to promote appetite?", Bird nest,Sharkfin soup,Bird nest,Miso soup,Bamboo
What part of a ducks body is recommended for treating coughs in traditional Chinese medicine?, Gizzard,Eyes,Bill,Liver,Gizzard
What type of herbs are used in traditional Chinese medicine to trigger sweating and invigorate blood?, Pungent herbs,Sour herbs,Bitter herbs,Sweet herbs,Pungent herbs
"Qigong, which is recommended in traditional Chinese medicine, is what type of exercise?", Breathing,Wrestling,Weightlifting,Breathing,Swimming
"What animal cures asthma, arteriosclerosis, impotence, thyroid problems, broken bones, and heart disease according to traditional Chinese medicine?", Seahorse,Snake,Shark,Seahorse,Frog
In what country did reconstructive and plastic surgery originate?, India,Roman Empire,India,Ancient Greece,Egypt
Archaeological findings suggest that true glass was first invented in this country., Egypt,Egypt,Japan,China,India
U.S. President George Washington was the most famous person to use an early form of dentures. What material were his dentures made from?, Hippopotamus ivory,Platinum,Elephant ivory,Hippopotamus ivory,Porcelain
In what country was the modern safety pin created?, United States,United States,Italy,France,China
In what country was silk first produced?, China,Iran,China,Japan,India
In what century was the first form of the lighter created?, 16th century,2nd century,6th century,16th century,10th century
In what century did the great Greek philosopher Socrates live?, 5th century BC,10th century BC,5th century BC,2nd century BC,8th century BC
What was the most important occupation to Socrates according to Xenophons ‘Symposium’?, Discussing philosophy,Discussing philosophy,Creating beauty,Studying sciences,Teaching children
"According to Socrates, the ideal state had this type of governmental control.", Military communism,None of these,Military communism,Absolute monarchy,Democracy
What is the nature of the so-called Socratic Method of inquiry?, Answering a question with another question,Answering a question with another question,Asking the same question many times by rephrasing it,Answering a foolish question with a more foolish answer,Asking very personal questions to embarrass the other party
"According to Socrates, people should worry most about which of the following?", Their souls,Their future,Their souls,Nothing at all,Their health
Socrates believed that wrongdoing stems only from this phenomenon., Ignorance,Ignorance,Egoism,Frustration,Hopelessness
How did Socrates describe the so-called ‘demonic sign’ that he claimed to appear to him when he was about to make a mistake?, Inner voice,Inner voice,Natural disaster,None of these,Divine vision
Socrates had a successful service in this state institution in Athens., Military,Government,Military,Court,All of these
In what century did the great Greek philosopher Aristotle live?, 4th century BC,4th century BC,1st century BC,7th century BC,10th century BC
"What did Aristotle request of his student Alexander the Great, according to some sources?", That he would rebuild his hometown,That he would keep his teachings a secret,That he would marry his daughter,That he would rebuild his hometown,All of these
Finish the popular quote by the great Greek philosopher Aristotle: ‘There was never a genius without a tincture of…’., Madness,Sorrow,Scepticism,Foolishness,Madness
Aristotle believed in the existence of this anatomical difference between human males and females., Males had more teeth.,"Females were born without a brain, and it was formed later.",All of these,Males had more kidneys.,Males had more teeth.
Aristotle believed these two scientific fields had nothing in common., Mathematics and physics,Mathematics and physics,Zoology and human anatomy,Geometry and arithmetic,Philosophy and psychology
In what type of written form did Aristotle prefer to express and defend his doctrines?, Dialogue,Dialogue,Fable,Poetry,Monologue
What astronomical object was named in honor of Greek philosopher Aristotle?, A crater on the Moon,A star,A constellation,One of the rings of Saturn,A crater on the Moon
What was the nature of sciences according to Aristotle?, All of these,Practical,Theoretical,Poetical,All of these
"This mental illness, classified by Emil Kraepelin in 1887, is characterized by persistent disorders in the perception or expression of reality.  A person who suffers from this disease may have delusions, hallucinations, disorganized or catatonic behavior.", Schizophrenia,Autism,Huntingtons Disease,Schizophrenia,Dementia
"This medical term refers to a condition, characterized by enlargement of the thyroid gland.", Goiter,Goiter,Sore throat,Mumps,Boils
"This disease is characterized by the presence of the following symptoms: recurrent, episodic vertigo, hearing loss, a sensation of aural fullness and tinnitus.  It is a balance disorder of the inner ear, first described by a French physician in 1861.", Menieres Disease,Alzheimers Disease,Menieres Disease,Kawasaki Syndrome,Cushings Syndrome
"A chalazion, also known as a Meibomian gland lipogranuloma, refers to which of these?", A cyst on the eyelid,A fungal rash,A recurring headache,A cyst on the eyelid,A sore throat
"Urticaria is a relatively common form of allergic reaction, that causes red skin welts. Which is the other term which refers to this skin ailment?", Hives,Hives,Chicken pox,Shingles,Eczema
The term albino comes from the Latin word albus.  An albino person or animal is characterised by what?," A lack of pigmentation in the skin, eyes and hair",Extremely dark pigmentation of the skin,"A lack of pigmentation in the skin, eyes and hair",Redness of the skin,Oily skin
"Which medical term refers to the crackling sound, produced when two rough surfaces in the human body come into contact?", Crepitus,Bunion,Exostosis,Osteoporosis,Crepitus
Which word refers to a sound caused by abnormal or pathological heart valves?, Murmur,Aneurysm,Murmur,Wheezing,Beat
USB connectors let you attach everything from printers to cameras to your computer quickly and easily. What does the abbreviation USB actually stand for?, Universal Serial Bus,Universal Serial Bus,Universal Service Bus,Ultra Sensitive Bus,Utility Service Bus
"In the world of computers, what does PC stand for?", Personal Computer,Private Computer,Privileged Computing,Personal Computer,Programmable Computer
"WWW, an abbreviation well known to Internet lovers, actually stands for what?", World Wide Web,World Wide Web,World Wild Web,Windows World Wide,Wonderful World of Web-casting
Windows NT is a family of operating systems produced by Microsoft. What does NT stand for?, New Technology,New Technology,Network Technology,Network Terminal,Networking and Troubleshooting
"FAT, a file system developed by Microsoft, is the shortened form of what?", File Allocation Table,File Accessible Table,File Array Table,File Allocation Table,File Acceptance Table
The division of a company or university that deals with software technology is often called the IT department. What does IT stand for?, Information Technology,Inter-networking Technology,Informatics and Technology,Information Technology,Internet Technology
Human toes and  fingers go by what common name?, Phalanges,Tarsals,Carpals,Phalanges,Vertabrae
"According to the Bible, Eve was made out of which of Adams bones?", Rib,Tibia,Rib,Rhombus,Clavicle
The clavicle is the bone that connects your upper arm to the rest of your body via your shoulder. What is the clavicle more commonly known as?, the collar bone,the shoulder bone,the collar bone,the neck bone,the shin bone
What are baby teeth scientifically called?, Deciduous teeth,Toddler teeth,Begginers teeth,Osseous Tissue,Deciduous teeth
Use an IMAP server to get advanced mail features.  What does IMAP stand for?, Internet Message Access Protocol,Internet Message Access Protocol,Intelligent Message Account Process,Internet Massive Access Peak,Intelligent Messaging Account Protocol
POP is used to retrieve e-mail from a mail server., Post Office Protocol,Performance Oriented Packaging,Primary Outgoing Protocol,Post Office Protocol,Post Office Procedures
You would use SMTP to send email messages., Simple Mail Transfer Protocol,Snail Mail Transfer Protocol,Simple Mail Transfer Protocol,Super Mail Transfer Procedure,Standard Mail Transfer Protocol
Do you know what TCP stands for?, Transmission Control Protocol,Transfer Control Protocol,Time Control Protocol,Turbo Connection Protocol,Transmission Control Protocol
GPRS is a new service designed for digital cellular networks., General Packet Radio Service,General Packet Radio System,General Pocket Radio System,Global Packet Radio Service,General Packet Radio Service
Most of the pages on the Web are written in HTML.  It stands for this., Hyper Text Markup Language,Hyper Text Markup Language,Hillarious Text Message Language,Hardened Text Message Language,Hyper Text Make-up Language
You can use FTP to download a video file.  It stands for this., File Transfer Protocol,File To Person,File Transfer Protocol,Fast Transfer Protocol,Full Transfer Protocol
Do you like listening to MP3s? What does this mystical acronym mean?, Moving Picture Experts Group Layer-3 Audio,Most Popular Layer-3 Audio,Moving Picture Experts Group Layer-3 Audio,Movable Protocol for Layer-3 Audio,Modern Protocol 3
"IRC lets people all over the world chat in virtual rooms, called channels.", Internet Relay Chat,Internet Rough Chat,Internet Reality Chat,Internet Real Chat,Internet Relay Chat
This property of the cell membrane allows allows some particles to cross more easily than others., Selective permeability,Discriminative passage,Semi-permeability,Semi-discriminative,Selective permeability
What is the name given to the current model of a cell membrane?, Fluid Mosaic model,Bilayer Phospholipid model,Davson-Danielli model,Fluid Mosaic model,Protein-Lipid model
What does the Davson-Danielli cell model look like?, Two layers of proteins sandwich a phospholipid bilayer,Two layers of proteins sandwich a phospholipid bilayer,"There are no proteins, only a phospholipid bilayer",Proteins and phospholipids are structured in a checkerboard pattern,Proteins are embedded in a phospholipid bilayer
What animal cell helped prove that membrane proteins drift?, Mouse,Dog,Mouse,Fish,Monkey
"You are stranded on an island and start drinking water from the ocean because there is no other water source. What state will this put your cells in, and what will happen to you?", hypertonic; dehydrate,hypotonic; rehydrate,isotonic; be in the same state,hypotonic; become sick,hypertonic; dehydrate
"When you take a shower or bath for a long time, the skin on your fingertips shrivels.  This happens because your body does this.", Absorbs water in the hypotonic solution,Loses water in the hypotonic solution,Loses water in the hypertonic solution,Absorbs water in the hypertonic solution,Absorbs water in the hypotonic solution
Which vehicle can also transport data?, Bus,Ship,Car,Plane,Bus
Which astronomical phenomenon is also a popular programming environment?, Eclipse,Polar lights,Eclipse,Equinox,Comet
Which vegetables come in the Enterprise Java flavour?, Beans,Beans,Broccoli,Potatoes,Peas
The name of which beautiful flower also refers to an e-mail server/client?, Lotus,Orchid,Rose,Lotus,Lily
Which girls name is also a the name of a computer programming language?, Ada,Ada,Amelia,Anna,Agnes
Which sweets are stored by an Internet browser?, Cookies,Biscuits,Candy bars,Cookies,Chocolates
What part of your body becomes a connection method when colored?, Bluetooth,Green tongue,Blond hair,Bluetooth,Red-eye
Which art term is also used to refer to dependencies between computer applications or processes?, Choreography,Choreography,Screenplay,Directing,Libretto
Which small software is actually a software giant from Redmond?, Microsoft,Milisoft,Nanosoft,Minisoft,Microsoft
Which plant with tasty fruits is also a wireless handheld device?, Blackberry,Strawberry,Blueberry,Gooseberry,Blackberry
The name of which capital city also refers to an open source project for the Java platform?, Jakarta,Rome,Mexico,Jakarta,Cairo
Which letter of the alphabet is also the name of a popular computer programming language?, C,E,C,B,A
"Chemistry is defined as the natural science of matter, dealing with the composition of substances and their properties, reactions and interactions.  Which of the following would NOT be an example of a chemical reaction?", converting liquid water to gaseous steam,mixing vinegar and baking soda together,the burning of a piece of wood,converting liquid water to gaseous steam,the rusting of a nail
What term describes the concentration of a solution in moles per liter?, molarity,molarity,osmosis,diffusion,molality
"pH, or the negative log of the H3O+ (hydronium ion) concentration, is the measure of acidity or basicity of an aqueous solution.  Which solution would have the lowest pH at room temperature?", a strong acid such as sulfuric acid,a weak base such as ammonium hydroxide,a weak acid such as acetic acid,a strong acid such as sulfuric acid,a strong base such as sodium hydroxide solution
"The equilibrium constant expression for a chemical equation is equal to the product concentrations divided by the reactant concentrations.  For example, A + B = C + D will give an equilibrium constant = [C][D]/[A][B].  According to LeChateliers principle, which of the following will affect the equilibrium of a given reaction?", all of these will affect equilibrium,changing the volume or pressure,all of these will affect equilibrium,increasing the temperature,changing the concentration of a reactant or a product
What do we call a triangle that has three unequal sides?, scalene,heronian,equilateral,scalene,isosceles
Hexagon ABCDEF has six equal sides and six equal angles. How many degrees is each angle?, 120 degrees,144 degrees,90 degrees,180 degrees,120 degrees
You have a string that is 120 inches. You must use this to enclose a shape of maximum area. What shape should  you form?, A circle of circumference 120 inches,A square of 60 inches on each side,A square of 30 inches on each side,A circle of circumference 120 inches,A triangle of 30 inches on each side
"If we add up all the interior angles of a quadrilateral, what sum do we get?", 360 degrees,90 degrees,540 degrees,180 degrees,360 degrees
"Two angles of a triangle are 4 degrees and 56 degrees, respectively. How large is the  third angle?", 120 degrees,60 degrees,45 degrees,120 degrees,30 degrees
"If we are using  regular square graph papers, what do we call the point where the x-axis meets the y-axis?", the origin,the abscissa,the quadrant,the ordinate,the origin
The parallel sides of a trapezoid are 5 inches and 11 inches long. The height of the trapezoid is 4 inches. What is the area of the trapezoid?, 32 square inches,32 square inches,256 inches,64 square inches,20 square inches
What do we call an angle of less than 90 degrees?, acute,reflex,oblique,acute,obtuse
What was the name of the first geometry textbook which was written by the ancient Greek Euclid?, The Elements,The Stoia,The Principia,The Elements,The Academy
"Labeling of nutrition contents is required for most prepared foods. In the US, the Food and Drug Administration, the government agency responsible for regulating food, drugs, and cosmetic products, requires that a product labeled low fat contain what maximum amount of fats?", No more than 3 grams per serving,No more than 3 grams per serving,Less than 1 gram per serving,Less than 5 grams per serving,No more than 15% of the servings calories from fat
Fats are a highly concentrated source of energy. It is estimated that one gram of fat provides how many calories?, 9 kcal,7 kcal,20 kcal,4 kcal,9 kcal
