Questions,Correct,A,B,C,D
Jupiter has rings.,B,False,True,,"Q What are Mercury, Venus, Earth and Mars mostly made of?"
Jupiter has the largest planetary atmosphere in the Solar System.,A,True,False,,Q Is Venus the coldest planet in the Solar System?
How many major planets are there in the Solar System?,D,10,9,11,8
What was the second planet from the Sun called by the Greeks?,C,Aphrodite,Phosphorus,All of these,Hesperus
"Marine 1, launched in 1961, was the first probe to visit another planet.",A,False,True,,Q Venus is classified as Earths sister planet.
Venus was mistaken for a UFO.,A,True,False,,Q Venus has the densest atmosphere in the solar system.
What is Venus maximum elongation?,B,48.7 Degrees,47.8 Degrees,24.5 Degrees,177.8 Degrees
Venus is largest when it is at which phase?,C,Half,Full,Crescent,Gibbous
Atoms are so small that they can only be observed with a special type of electronic optical microscope called scanning optical microscope.,B,True,False,,"Q If we had to measure the width (i.e. the diameter) of a single human hair in carbon atoms, how much would this width be?"
The atoms of which type of chemical elements have a complete set of valence electrons - 8?,A,Noble gases,Chlorides,Salts,Alkali metals
Valence is a characteristics of atoms which defines their ability to do which of the following?,D,Be subject to radioactive decay,Move from one molecule to another,Fall apart,Bind with other atoms
"What did the CERN laboratory in Geneva, Switzerland, produce for the first time in 1996?",A,Antimatter,An atom without electrons,A black hole,An atom without protons
What does the branch of physics called atomic physics study?,B,All of these,The atom as an isolated system of electrons and a nucleus,Nuclear power,Relations between atoms and their arrangement in compounds
What happens to an electron that has absorbed a certain amount of energy which is though less than the energy necessary to remove it from the atom?,A,Goes into excited state,Nothing,Decays,Explodes
How are the orbits in which the electrons of the atom reside called?,A,Electron shells,Electron orbits,Electron paths,Electron circles
"In chemistry and physics, what do we call free radicals?",C,Atoms free of electrons,Atoms not part of a molecule,Atoms with at least one unpaired electron,Atom freely floating in space
How is an atom having the valance of 1 called?,D,Nucleuid,Mono particle,Monotom,Monad
Which of the following cannot affect the energy levels of the electrons of an atom?,C,Absorption of energy from light (photons),Magnetic field,All of these can affect the energy levels,Mechanical collision between particles
In atomic physics what does the term magnetic moment refer to?,C,The moment in which an atom enters a magnetic field,A miniature slice of time in an atoms magnetic interaction with other particles,The magnetic field produced by an atom,The moment in which an atom becomes magnetized
For the purposes of their experiments how do physicists slow down atoms in order to study them better?,B,With liquid nitrogen,By laser cooling,In special refrigerators,By bombarding them with micro particles
"In atomic physics, which atoms are called exotic atoms?",B,Atoms that occur on other planets of the Solar System but not on Earth,Atoms in which a sub-atomic particle has been replaced by another particle of the same charge,Magnetized atoms,Atoms that occur on Earth naturally very rarely
When a hydrogen atom loses its electron it might form which of the following?,A,A proton,A neutron,A lepton,A quark
Which of the following components of the atom is not considered an elementary particle?,A,Proton,Quark,Electron,Gluon
In nuclear physics what is a radionuclide?,D,A nucleus separated from the atom by radioactive processes,None of these,Two radioactive atoms in a molecule,An atom with an unstable nucleus characterized by excess energy
"In physics and chemistry, which isotopes are considered stable?",B,Isotopes that are in a bond,Isotopes that are not radioactive,"Isotopes in which the number of electrons, protons and neutrons is equal",Isotopes that do not form bonds
"Super-heavy atoms, (or super heavy elements, often abbreviated SHE), are the elements with large atomic number (starting from 104), which occur only deep in the Earths mantle. They are very useful in the study of atoms structure and properties.",B,True,False,,Q Which is the force that binds together protons and neutrons together and thus forms the atoms nucleus?
What does the word tornado literally mean?,D,Devil,Death,Danger,Thunderstorm
What does the term tornado family denote?,B,A family that had suffered damages caused by a tornado,A series of tornadoes,A class of tornadoes,Quarrelsome family
"What is the name of the tornado that occurred on March 18, 1925 and became the deadliest in U.S. history?",D,Oklahoma City Tornado,Great Natchez Tornado,1896 St. Louis – East St. Louis tornado,Tri-State Tornado
What is the name of the scale that is used to rate the intensity of tornadoes?,B,Dmitriev scale,Fujita scale,Richter scale,Saccitoni scale
What is the common shape of large single-vortex tornadoes?,D,Funnel tornadoes,Stovepipe tornadoes,Rope tornadoes,Wedge tornadoes
The vast majority of tornadoes in the world occur in the Tornado Alley region which is located in this country.,A,The United States,Indonesia,Mexico,Australia
Which of these is a common myth concerning the damages caused by a tornado to a house?,B,Having trees and shrubs around the house will lessen the damages.,Opening the windows will lessen the damages.,Tornadoes spare houses painted in orange.,All of these
What word is commonly used to refer to the central area of the tornado?,B,All of these,Eye,Heart,Navel
The horse of what fictional hero is called Tornado?,B,Don Quixote,Zorro,Don Juan,dArtagnan
What actress starred in the 1996 disaster movie Twister?,B,Meg Ryan,Helen Hunt,Jodie Foster,Michelle Pfeiffer
By what name was the closest planet to the Sun called by the Greeks?,B,Kokhav Hamah,Hermes,Hermaon,Mercury
Mercury is the densest major body in the solar system.,A,False,True,,Q Which probe became the first probe to visit Mercury in 1974?
Mercurys maximum elongation is 32.2 degrees.,B,True,False,,Q When does a transit of Mercury occur?
What is Calores Montes?,D,a large crater on Mercury,a tall mountain on Mercury,a volcano on Mercury,a range of mountains on Mercury
Does Mercury have an atmosphere?,B,Yes,No,,Q Does Mercury have a magnetic field?
What is Mercurys spin-orbit resonance?,D,1:1,8:5,3:4,3:2
What is the planet Uranus named after?,C,The Egyptian god of the sky,The Roman god of the sky,The Greek god of the sky,The Babylonian god of the sky
How many years does it take for the planet Uranus to orbit the Sun once?,C,104,64,84,44
What element comprises the bulk of Uranus atmosphere?,C,Ozone,Carbon Dioxide,Hydrogen,Helium
Uranus has only 10 moons.,A,False,True,,Q What is the name of the first spacecraft to study the planet Uranus?
How many separate rings does the planet Uranus have according to observations made with the Hubble Space Telescope in 2005?,C,7 rings,Uranus does not have any rings.,13 rings,5 rings
Which is the largest of Uranus moons?,A,Titania.,Miranda.,Ariel.,Oberon.
Name the 1962 film about the planet Uranus?,B,Meet me on Uranus,Journey to the Seventh Planet,Escaping the Blue Planet,I Love Uranus
Uranus was renamed Urectum in what animated TV Series?,A,Futurama,The Simpsons,The Family Guy,American Dad
What is the name of the Japanese dried seaweed sheets used in the preparation of sushi?,D,Onigiri,Sashimi,Yakisoba,Nori
Why will worms not live in seaweed fertilizer?,B,Because it contains antibiotics that repulse them,Because of its high salt content,All of these,Because it is acidic
Kelp ash is used in the production of which of the following?,B,Plastic,Glass,Rubber,Teflon
What important advantage does algal fuel possess?,D,It is relatively environmentally harmless.,It is biodegradable.,It produces much more energy than second-generation biofuel crops.,All of these
Marine algae may have this effect on the human body.,B,All of these,Laxative effect,May act as opiates,Increase the cholesterol levels
What process does the edible seaweed called Wakame accelerate according to studies?,C,Healing of wounds,Cell growth,Burning of fat,Delivery of the baby
The edible seaweed Irish moss contains this essential mineral used in the prevention and treatment of goiter.,C,Potassium,Calcium,Iodine,Sulfur
"What name is commonly used to refer to the edible seaweed Caulerpa lentillifera, also known as sea grapes?",B,Marine eggs,Green caviar,Sea corn,All of these
What medical condition is the chlorella algae beneficial for?,A,All of these,High cholesterol levels,Radiation exposure,High blood pressure
What important mineral is sea lettuce especially rich in?,A,Iron,Magnesium,Copper,Potassium
What did Charles Darwin major in at the University of Edinburgh where he joined his older brother in October 1825?,D,Geography,Natural history,Marine biology,Medicine
"Charles Darwin had a passion for this popular hobby, which was introduced to him by his cousin William Darwin Fox.",B,Collecting herbs,Collecting beetles,Painting,Fowling
"Charles Darwin was neglecting his studies at the University of Edinburgh, so his father sent him to Cambridge to get a Bachelor of Art degree, as the first step towards what profession?",C,Teacher,Medical doctor,Priest,Artist
What was Charles Darwin disgusted with while in Brazil during the second voyage of HMS Beagle?,B,Racism,Slavery,Animal sacrifices,Live animal skinning
"In what country did Charles Darwin experience an earthquake, leading him to form a theory on the movements of the Earths crust?",D,Australia,France,South Africa,Chile
What was the supposed reason for Charles Darwins health problems that started in 1837?,D,Allergy,Depression,A mysterious disease that he caught during his first voyage,Overwork
"Which of these statements is true about Charles Darwins wife, Emma Wedgwood?",C,She was Charles second cousin,She was two years older than Charles,She was known for her charity work,She was quick-tempered and often argued with her husband
Charles Darwin and his wife Emma survived the death of this child of theirs.,C,Charles Waring Darwin,Mary Eleanor Darwin,All of these,Anne Elizabeth Darwin
"Who was Charles Darwins second son and fifth child, who became a prominent astronomer and mathematician?",B,Leonard Darwin,George Howard Darwin,Francis Darwin,William Erasmus Darwin
"What impressive physical characteristic did Charles Darwin possess, which made the Bank of England use his image for the ten pound note in 2000?",D,Distinctive eyes,Very big ears,Unique nose,Large beard
What natural therapy works best for seasonal depression and low moods due to sleep deprivation?,B,Water therapy,Bright light therapy,Aromatherapy,Massage
"What type of fish contains the valuable Omega-3 fatty acids, proven to fight depression and improve overall health?",D,Marine fish,Bony fish,Cartilaginous fish,Cold-water fish
What mineral present in some mineral waters is used as a cure for different types of depression?,D,Copper,Aluminium,Vanadium,Lithium
What spice possesses antidepressant properties?,A,Saffron,Black pepper,Chilli,Nutmeg
Listening to what type of music is recommended for people who suffer from mood disorders?,B,Loud music,Soft music,Jazz,Rock and roll
"What type of food is rich in tryptophan, and therefore prevents and cures depression?",D,Nuts,Dairy,Meat,All of these
What is the best location to exercise in order to fight depression according to studies?,D,In a gym,In the bathroom,In your home,Outdoors
Which of these substances and minerals is not effective in the treatment of depression?,A,Sodium,Zinc,Magnesium,Dopamine
What animals are used in the treatment of mood disorders such as depression?,C,Parrots,Dolphins,All of these,Dogs
Bathing in what type of water is proven to battle depression and enhance the mood?,C,Hot water,Mineral water,Cold water,Water with temperature close to that of the human body
What fields did the science of alchemy originally combine?,B,Metallurgy and astrology,All of these,Chemistry and medicine,Art and physics
What element was usually the subject of transformation in alchemy?,B,Copper,Lead,Lithium,Tin
Alchemists were in search of ‘panacea’. What is panacea?,B,The meaning of life,Remedy for all ailments,The Holy Grail,A piece of Jesus Christ’s cross
What was the special magic power of the philosophers stone that alchemists were searching for?,D,It would bring them luck and happiness.,It would grant them eternal life.,All of these,It would give them unprecedented knowledge.
Until what century was alchemy considered a serious science in Europe?,D,14th century,13th century,18th  century,16th century
What is the word ‘alchemy’ generally believed to mean literally?,A,The art of transformation,All in one,All is possible,The transfusion of matter
In what Asian country did one of the two main branches of alchemy originate?,C,India,Saudi Arabia,China,Japan
"What scientist is believed to have been the first true alchemist in Medieval Europe, as well as the most significant?",B,Isaac Newton,Roger Bacon,Thomas Aquinas,Galileo Galilei
Who is the author of the 1988 book ‘The Alchemist’?,D,J. K. Rowling,Umberto Eco,Terry Pratchett,Paulo Coehlo
What did alchemists associate the planets with?,C,Women,Animals,Metals,Dreams
"If I weighed 100 pounds(45.5 Kilograms) on Earth, about how much would I weigh on Mars?",C,90.7 Pounds(41.2 Kilograms),48.6 Pounds(22.1 Kilograms),37.7 Pounds(17.1 Kilograms),88.9 Pounds(40.4 Kilograms)
Mars lower density and size gives it a mass about how much that of Earth?,D,1/6,1/8,1/2,1/10
Mars moon Deimos orbits the closest to its planet of any moon in the Solar System.,B,True,False,,Q Which of these orders the terrestrial planets from smallest to largest by diameter?
Jupiter is the fourth brightest object in the sky.,A,False,True,,Q The earliest evidence of animal life comes from this period.
Early amphibians such as Icthyostega evolved during what geological period?,D,Silurian,Carboniferous,Permian,Devonian
Arthropods were the largest animals on Earth during the Silurian period (443ma-417ma).,A,True,False,,Q What was the only mass extinction in which insects were affected?
During what geological period did the earliest vascular plants evolve?,C,Devonian,Cretaceous,Silurian,Cambrian
When did the first grasses evolve?,A,55 million years ago,35 million years ago,65 million years ago,200 million years ago
"It has been proposed that before the evolution of leaves, plants had the photosynthetic apparatus on which parts?",A,stems,roots,buds,none of these
Most plant groups became extinct during the Permo-Triassic extinction event.,B,True,False,,Q What period marks the beginning of extensive land colonization by plants?
Endorphins are some of the so-called hormones of happiness. In what situations does our body choose to start producing endorphins?,A,All of these,When we feel pain,When we are dying,In times of exhilaration
"Adrenaline, or epinephrine, is one of the stress hormones our bodies produce. What is the effect of adrenaline on the human body?",C,It dilates pupils.,It increases the blood sugar levels.,All of these,It suppresses the immune system.
More and more people are choosing replacement therapies with human growth hormones. What are the effects of such therapies on the body?,A,All of these,Less body fat,Stronger immune system,Younger skin
Oxytocin is an important hormone for the human body especially for women. What is it responsible for?,A,Contractions of the uterus,Development of the uterus,Development of the ovaries,Ovulation
"Weve all heard about the importance of insulin, but where does its name come from?",C,It means that it is produced inside the body.,Its name means reduces sugar in Greek.,"It comes from the Latin insula, which means island.",Insulin means sugar in Latin.
The production of the hormone melatonin is inhibited by light and permitted by darkness. In which part of the body is it produced?,B,Gastrointestinal tract,All of these,Retina,Pineal gland
Testosterone is a male hormone secreted in the testes in males and ovaries in females. Its deficiency is related to various disorders such as this one.,C,All of these,Blindness,Alzheimer’s Disease,Melanoma
Which of these statements is true about the female hormone estrogen?,B,It reduces muscle mass.,All of these,It decreases height growth.,It speeds up metabolism.
"Progesterone, the hormone of pregnancy, is synthesized in this part of the body.",B,In the ovaries,All of these,In the placenta,In the brain
"Which of these statements is true about cortisol, a hormone produced by the cortex of the adrenal glands?",D,Makeup decreases cortisol levels.,Lack of sleep increases cortisol levels.,Caffeine increases cortisol levels.,All of these
How fast have winds on Jupiter blown?,A,430 Kilometers per hour(267 Miles per hour),240 Kilometers per hour(150 Miles per hour),470 Kilometers per hour(292 Miles per hour),360 Kilometers per hour(223 Miles per hour)
How many natural satellites does Jupiter have?,C,18,56,63,60
Jupiter has been called the vacuum cleaner of the Solar System.,B,False,True,,Q The first moons of Jupiter discovered belong to this group.
How large can Jupiter appear in the Earths sky?,B,35 arcseconds,50 arcseconds,55 arcseconds,40 arcseconds
Jupiters magnetic field is the strongest in the Solar System.,A,False,True,,Q Jupiter is growing.
How oblate is Saturn?,C,.07,.11,.1,.08
Saturns magnetic field is stronger than Earths.,A,False,True,,Q Which of the following groups of animals does nematology study?
Which insects does the science called Coleopterology study?,A,Beetles,Mosquitoes,Mantises,Parasitic insects
What animals does malacology study?,C,Jellyfish,Monotremes,Mollusks,Arthropods
What does carcinology study?,C,Malignant tumors in animals and humans,The outer shells of invertebrates and reptiles,Crustaceans,"Crabs, lobsters, and crayfish"
Which of the following groups of animals does helminthology study?,D,External parasites,Oviparous animals,Symbiotic animal species,Parasitic worms
The science known as theriology or therology studies which of the following?,C,Land animal species,Carnivorous animals,Mammals,Endemic animal species
The science called myrmecology deals with the study of which of the following?,B,Wasps,Ants,Centipedes,Insects
Ichthyology is a branch of biology that deals with which of these?,C,All of these,Amphibians,Fish,Water animals
What is the subject of study of the science called oology?,C,Animal reproductive organs,Bird feathers,Eggs,Eels
Which of these animals does dipterology study?,A,Flies,Moles,Foxes,Lizards
In which part of the digestive system are the so-called Brunners glands located?,D,Stomach,Colon,Small intestine,Duodenum
What type of duct is the Whartons duct found in the human body?,B,Tear duct,Salivary duct,Sweat duct,Bile duct
What type of cells are Betz cells that are found in the human body?,B,Epithelial cells,Neurons,Striated muscle cells,Melanocytes
The so-called space of Disse is located in this internal organ of the human body.,A,Liver,Spleen,Pancreas,Kidney
In what part of the human body are Von Ebners glands located?,D,Skin,All of these,Nasal cavity,Tongue
In which gland of the human body can Hurthle cells be found?,A,Thyroid gland,Thymus gland,Adrenal gland,Pituitary gland
The pores of Kohn are organs located in this part of the human body.,D,Skin,Tongue,Intestines,Lungs
The meibomian glands are special sebaceous glands located in this part of the human body.,C,All of these,Ear canals,Eyelids,Lips
In which part of the human body are Sharpeys fibers found?,C,Skull,Bones,All of these,Teeth
What human internal organ contains Luschkas crypts?,D,Uterus,Urinary bladder,Stomach,Gallbladder
"According to scientific classifications, to which kingdom do fungi belong?",D,To both the animal and the plant kingdom,The animal kingdom,The plant kingdom,None of these
Fungi take important part in which phase of the nutrient cycling and exchange?,C,Organic matter formation,Organic matter recomposition,Organic matter decomposition,All of these
How is the discipline of biology dedicated to the study of fungi called?,C,Fungitics,Myology,Mycology,Fungology
Fungi are crucial for the production of which of these foods?,B,Ketchup,Bread,Cheese,Creme
Fungi and their products are involved in the process of production of which of these goods?,B,Detergents,All of these,Opiates,Antibiotics
What is the main difference between fungi and plants when cell structure is considered?,A,Fungi do not have cellulose in their cell walls,Fungal cells contain membrane-bound nuclei,Fungi lack ribosomes,Fungi lack mitochodria
For which of these global tendencies in nature are fungi responsible?,C,Water poisoning,Decline of tree populations,Decline of amphibian populations,Global warming
"In nature, fungi are known tp form symbiotic relationships with which of these organisms?",D,Plants,Algae,Insects,All of these
How do fungi reproduce?,D,Asexually,By spore dispersal,Sexually,All of these
"A fungus of the Armillaria ostoyae genus, discovered in the Malheur National Forest in the Strawberry Mountains of eastern Oregon, U.S. is often cited as which of these?",B,The oldest living organism,The largest living organism,The fastest-growing living organism,The smallest living organism
"What kind of therapy is the Tui na, used in traditional Chinese medicine?",C,Sauna,Music therapy,Massage,Tea therapy
What part of the human being is the shen according to traditional Chinese medicine?,D,Breath,Bodily fluids,Heart,Soul
"What positive effect do shiitake mushrooms, largely used in traditional Chinese medicine, have on human health?",D,They boost the immune system.,They prevent cancer.,They lower cholesterol.,All of these
"Ginseng is widely used in traditional Chinese medicine. What is the meaning of the Chinese phrase renshen, from which the English word ginseng originated?",A,Man root,Power root,Fast growing,Promoting life
Which of these methods is used in traditional Chinese medicine to diagnose conditions and diseases?,B,Listening to the patients voice,All of these,Exploring the patients body odors,Checking the patients hair
"What traditional Chinese food is believed to improve the skin and the function of the spleen, and to promote appetite?",B,Sharkfin soup,Bird nest,Miso soup,Bamboo
What part of a ducks body is recommended for treating coughs in traditional Chinese medicine?,D,Eyes,Bill,Liver,Gizzard
What type of herbs are used in traditional Chinese medicine to trigger sweating and invigorate blood?,D,Sour herbs,Bitter herbs,Sweet herbs,Pungent herbs
"Qigong, which is recommended in traditional Chinese medicine, is what type of exercise?",C,Wrestling,Weightlifting,Breathing,Swimming
"What animal cures asthma, arteriosclerosis, impotence, thyroid problems, broken bones, and heart disease according to traditional Chinese medicine?",C,Snake,Shark,Seahorse,Frog
In what country did reconstructive and plastic surgery originate?,B,Roman Empire,India,Ancient Greece,Egypt
Archaeological findings suggest that true glass was first invented in this country.,A,Egypt,Japan,China,India
U.S. President George Washington was the most famous person to use an early form of dentures. What material were his dentures made from?,C,Platinum,Elephant ivory,Hippopotamus ivory,Porcelain
In what country was the modern safety pin created?,A,United States,Italy,France,China
In what country was silk first produced?,B,Iran,China,Japan,India
In what century was the first form of the lighter created?,C,2nd century,6th century,16th century,10th century
In what century did the great Greek philosopher Socrates live?,B,10th century BC,5th century BC,2nd century BC,8th century BC
What was the most important occupation to Socrates according to Xenophons ‘Symposium’?,A,Discussing philosophy,Creating beauty,Studying sciences,Teaching children
"According to Socrates, the ideal state had this type of governmental control.",B,None of these,Military communism,Absolute monarchy,Democracy
What is the nature of the so-called Socratic Method of inquiry?,A,Answering a question with another question,Asking the same question many times by rephrasing it,Answering a foolish question with a more foolish answer,Asking very personal questions to embarrass the other party
"According to Socrates, people should worry most about which of the following?",B,Their future,Their souls,Nothing at all,Their health
Socrates believed that wrongdoing stems only from this phenomenon.,A,Ignorance,Egoism,Frustration,Hopelessness
How did Socrates describe the so-called ‘demonic sign’ that he claimed to appear to him when he was about to make a mistake?,A,Inner voice,Natural disaster,None of these,Divine vision
Socrates had a successful service in this state institution in Athens.,B,Government,Military,Court,All of these
In what century did the great Greek philosopher Aristotle live?,A,4th century BC,1st century BC,7th century BC,10th century BC
"What did Aristotle request of his student Alexander the Great, according to some sources?",C,That he would keep his teachings a secret,That he would marry his daughter,That he would rebuild his hometown,All of these
Finish the popular quote by the great Greek philosopher Aristotle: ‘There was never a genius without a tincture of…’.,D,Sorrow,Scepticism,Foolishness,Madness
Aristotle believed in the existence of this anatomical difference between human males and females.,D,"Females were born without a brain, and it was formed later.",All of these,Males had more kidneys.,Males had more teeth.
Aristotle believed these two scientific fields had nothing in common.,A,Mathematics and physics,Zoology and human anatomy,Geometry and arithmetic,Philosophy and psychology
In what type of written form did Aristotle prefer to express and defend his doctrines?,A,Dialogue,Fable,Poetry,Monologue
What astronomical object was named in honor of Greek philosopher Aristotle?,D,A star,A constellation,One of the rings of Saturn,A crater on the Moon
What was the nature of sciences according to Aristotle?,D,Practical,Theoretical,Poetical,All of these
"This mental illness, classified by Emil Kraepelin in 1887, is characterized by persistent disorders in the perception or expression of reality.  A person who suffers from this disease may have delusions, hallucinations, disorganized or catatonic behavior.",C,Autism,Huntingtons Disease,Schizophrenia,Dementia
"This medical term refers to a condition, characterized by enlargement of the thyroid gland.",A,Goiter,Sore throat,Mumps,Boils
"This disease is characterized by the presence of the following symptoms: recurrent, episodic vertigo, hearing loss, a sensation of aural fullness and tinnitus.  It is a balance disorder of the inner ear, first described by a French physician in 1861.",B,Alzheimers Disease,Menieres Disease,Kawasaki Syndrome,Cushings Syndrome
"A chalazion, also known as a Meibomian gland lipogranuloma, refers to which of these?",C,A fungal rash,A recurring headache,A cyst on the eyelid,A sore throat
Alopecia is the medical term which refers to baldness.,A,False,True,,"Q This medical condition is characterized by subsequent decay of body tissues, caused by infection or thrombosis or lack of blood flow."
"Urticaria is a relatively common form of allergic reaction, that causes red skin welts. Which is the other term which refers to this skin ailment?",A,Hives,Chicken pox,Shingles,Eczema
The term albino comes from the Latin word albus.  An albino person or animal is characterised by what?,B,Extremely dark pigmentation of the skin,"A lack of pigmentation in the skin, eyes and hair",Redness of the skin,Oily skin
"Which medical term refers to the crackling sound, produced when two rough surfaces in the human body come into contact?",D,Bunion,Exostosis,Osteoporosis,Crepitus
Which word refers to a sound caused by abnormal or pathological heart valves?,B,Aneurysm,Murmur,Wheezing,Beat
USB connectors let you attach everything from printers to cameras to your computer quickly and easily. What does the abbreviation USB actually stand for?,A,Universal Serial Bus,Universal Service Bus,Ultra Sensitive Bus,Utility Service Bus
"In the world of computers, what does PC stand for?",C,Private Computer,Privileged Computing,Personal Computer,Programmable Computer
"WWW, an abbreviation well known to Internet lovers, actually stands for what?",A,World Wide Web,World Wild Web,Windows World Wide,Wonderful World of Web-casting
Windows NT is a family of operating systems produced by Microsoft. What does NT stand for?,A,New Technology,Network Technology,Network Terminal,Networking and Troubleshooting
"FAT, a file system developed by Microsoft, is the shortened form of what?",C,File Accessible Table,File Array Table,File Allocation Table,File Acceptance Table
The division of a company or university that deals with software technology is often called the IT department. What does IT stand for?,C,Inter-networking Technology,Informatics and Technology,Information Technology,Internet Technology
Human toes and  fingers go by what common name?,C,Tarsals,Carpals,Phalanges,Vertabrae
The zygomatic processes form the cheek bones.,A,True,False,,Q The radius is a bone which is part of the human leg.
"According to the Bible, Eve was made out of which of Adams bones?",B,Tibia,Rib,Rhombus,Clavicle
The clavicle is the bone that connects your upper arm to the rest of your body via your shoulder. What is the clavicle more commonly known as?,B,the shoulder bone,the collar bone,the neck bone,the shin bone
What are baby teeth scientifically called?,D,Toddler teeth,Begginers teeth,Osseous Tissue,Deciduous teeth
The tail bone is scientifically known as the coccyx.,B,False,True,,Q The USB memory stick is a very useful device. But do you know what USB stands for?
Use an IMAP server to get advanced mail features.  What does IMAP stand for?,A,Internet Message Access Protocol,Intelligent Message Account Process,Internet Massive Access Peak,Intelligent Messaging Account Protocol
POP is used to retrieve e-mail from a mail server.,C,Performance Oriented Packaging,Primary Outgoing Protocol,Post Office Protocol,Post Office Procedures
You would use SMTP to send email messages.,B,Snail Mail Transfer Protocol,Simple Mail Transfer Protocol,Super Mail Transfer Procedure,Standard Mail Transfer Protocol
Do you know what TCP stands for?,D,Transfer Control Protocol,Time Control Protocol,Turbo Connection Protocol,Transmission Control Protocol
GPRS is a new service designed for digital cellular networks.,D,General Packet Radio System,General Pocket Radio System,Global Packet Radio Service,General Packet Radio Service
Most of the pages on the Web are written in HTML.  It stands for this.,A,Hyper Text Markup Language,Hillarious Text Message Language,Hardened Text Message Language,Hyper Text Make-up Language
You can use FTP to download a video file.  It stands for this.,B,File To Person,File Transfer Protocol,Fast Transfer Protocol,Full Transfer Protocol
Do you like listening to MP3s? What does this mystical acronym mean?,B,Most Popular Layer-3 Audio,Moving Picture Experts Group Layer-3 Audio,Movable Protocol for Layer-3 Audio,Modern Protocol 3
"IRC lets people all over the world chat in virtual rooms, called channels.",D,Internet Rough Chat,Internet Reality Chat,Internet Real Chat,Internet Relay Chat
This property of the cell membrane allows allows some particles to cross more easily than others.,D,Discriminative passage,Semi-permeability,Semi-discriminative,Selective permeability
What is the name given to the current model of a cell membrane?,C,Bilayer Phospholipid model,Davson-Danielli model,Fluid Mosaic model,Protein-Lipid model
What does the Davson-Danielli cell model look like?,A,Two layers of proteins sandwich a phospholipid bilayer,"There are no proteins, only a phospholipid bilayer",Proteins and phospholipids are structured in a checkerboard pattern,Proteins are embedded in a phospholipid bilayer
What animal cell helped prove that membrane proteins drift?,B,Dog,Mouse,Fish,Monkey
All cell proteins are embedded in the cell membrane.,B,True,False,,"Q Glycolipids in cell membranes are involved in transport, enzymatic activity, intercellular joining, and cell-cell recognition."
Does active transport require the energy of the molecule adenosine diphosphate or ADP?,B,Yes,No,,Q How permeable is the cell membrane?
"You are stranded on an island and start drinking water from the ocean because there is no other water source. What state will this put your cells in, and what will happen to you?",D,hypotonic; rehydrate,isotonic; be in the same state,hypotonic; become sick,hypertonic; dehydrate
"When you take a shower or bath for a long time, the skin on your fingertips shrivels.  This happens because your body does this.",D,Loses water in the hypotonic solution,Loses water in the hypertonic solution,Absorbs water in the hypertonic solution,Absorbs water in the hypotonic solution
Which vehicle can also transport data?,D,Ship,Car,Plane,Bus
Which astronomical phenomenon is also a popular programming environment?,B,Polar lights,Eclipse,Equinox,Comet
Which vegetables come in the Enterprise Java flavour?,A,Beans,Broccoli,Potatoes,Peas
The name of which beautiful flower also refers to an e-mail server/client?,C,Orchid,Rose,Lotus,Lily
Which girls name is also a the name of a computer programming language?,A,Ada,Amelia,Anna,Agnes
Which sweets are stored by an Internet browser?,C,Biscuits,Candy bars,Cookies,Chocolates
What part of your body becomes a connection method when colored?,C,Green tongue,Blond hair,Bluetooth,Red-eye
Which art term is also used to refer to dependencies between computer applications or processes?,A,Choreography,Screenplay,Directing,Libretto
Which small software is actually a software giant from Redmond?,D,Milisoft,Nanosoft,Minisoft,Microsoft
Which plant with tasty fruits is also a wireless handheld device?,D,Strawberry,Blueberry,Gooseberry,Blackberry
The name of which capital city also refers to an open source project for the Java platform?,C,Rome,Mexico,Jakarta,Cairo
Which letter of the alphabet is also the name of a popular computer programming language?,B,E,C,B,A
"Chemistry is defined as the natural science of matter, dealing with the composition of substances and their properties, reactions and interactions.  Which of the following would NOT be an example of a chemical reaction?",C,mixing vinegar and baking soda together,the burning of a piece of wood,converting liquid water to gaseous steam,the rusting of a nail
What term describes the concentration of a solution in moles per liter?,A,molarity,osmosis,diffusion,molality
"pH, or the negative log of the H3O+ (hydronium ion) concentration, is the measure of acidity or basicity of an aqueous solution.  Which solution would have the lowest pH at room temperature?",C,a weak base such as ammonium hydroxide,a weak acid such as acetic acid,a strong acid such as sulfuric acid,a strong base such as sodium hydroxide solution
"The equilibrium constant expression for a chemical equation is equal to the product concentrations divided by the reactant concentrations.  For example, A + B = C + D will give an equilibrium constant = [C][D]/[A][B].  According to LeChateliers principle, which of the following will affect the equilibrium of a given reaction?",B,changing the volume or pressure,all of these will affect equilibrium,increasing the temperature,changing the concentration of a reactant or a product
"In the Bronsted-Lowry acid-base classification, an acid is defined as a proton donor and a base is a proton acceptor.",B,False,True,,Q What does the  word geometry mean?
What do we call a triangle that has three unequal sides?,C,heronian,equilateral,scalene,isosceles
The Law of Pythagoras can always be used to find the length of the hypotenuse of an isosceles triangle.,B,True,False,,Q What is a curve?
Hexagon ABCDEF has six equal sides and six equal angles. How many degrees is each angle?,D,144 degrees,90 degrees,180 degrees,120 degrees
You have a string that is 120 inches. You must use this to enclose a shape of maximum area. What shape should  you form?,C,A square of 60 inches on each side,A square of 30 inches on each side,A circle of circumference 120 inches,A triangle of 30 inches on each side
"If we add up all the interior angles of a quadrilateral, what sum do we get?",D,90 degrees,540 degrees,180 degrees,360 degrees
