Questions,Correct,A,B,C,D
How many times per year is a healthy female guinea pig able to give birth?,C,Twice,Seven times,Five times,Once
What geographic area did the guinea pig originate from?,A,South America,Africa,Australia and New Guinea,North America
What term is commonly used to refer to the young of the guinea pig?,A,Pups,Kits,Calves,Piglets
What type of food does the guinea pig naturally feed on?,A,Grass,Grains,Green leaved,Nuts
The guinea pig is unable to produce this substance in its own body and gets it from its food.,B,Saliva,Vitamin C,Stomach acid,Digestive enzymes
What plant is poisonous for guinea pigs and should never be offered to them?,A,All of these,All plants growing from a bulb,Bracken,Wild celery
In this 2009 Walt Disney action comedy movie the main characters are guinea pigs.,A,G-Force,The Fast and the Furry,Darwin,Fluffy Spies
What actor voiced the guinea pig character called Rodney in the 1998 comedy movie Dr. Dolittle?,D,Jim Carrey,Chris Tucker,Eddie Murphy,Chris Rock
The representatives of what guinea pig breed have extremely long hair that never stops growing all over their bodies?,D,Teddy,Texel,Abyssinian,Peruvian
To what continent are raccoons native?,A,North America,South America,Australia,Both Americas
Captive raccoons are known for performing this vacuum activity.,A,Dousing their food,Scratching their belly,Playing dead,All of these
Which of these regarding the reproduction of raccoons is correct?,A,Pregnancy can last from 54 to 70 days.,The male brings food for the young.,None of these,Females usually give birth to only one kit.
What animal is a major predator for wild raccoons?,D,Coyote,Bald eagle,Bobcat,All of these
Raccoons are omnivorous animals but they have a preference for this type of food.,C,Invertebrates,Birds,Fruits and nuts,Fish
What is the most important sense for raccoons?,D,Vision,Sense of smell,Hearing,Sense of touch
Why is it not recommended to be keep raccoons as pets?,D,They have and intense odor.,Their fur promotes allergies.,They transmit many diseases.,They can be aggressive.
What have raccoons been mostly hunted for throughout history?,A,Their fur,Their bones,Their meat,Their fat
What popular cartoon character from a 1995 animated movie keeps a raccoon as a pet?,C,Simba,Shrek,Pocahontas,Mulan
Studies of raccoons intelligence have shown that raccoons are capable of performing this activity.,A,Opening locks,Understanding spoken words,Painting,Differentiating sounds
"The Ramphotyphlops braminus, a harmless blind snake species, found in Africa and Asia, is often mistaken for this animal.",D,Black mamba,Dog-faced water snake,Elephant Trunk Snake,Earthworm
"How are the young Box turtles classified according to their diet, which differs from the diet of mature Box turtles?",C,Specialized eaters,Omnivores,Carnivores,Herbivores
"What distinctive feature is characteristic of the crocodile species called gharial, or Indian gavial?",C,Very short tail,Red spots on its back,Narrow snout,Purple scales
"How did the glass lizard, also known as glass snake, get its interesting name?",D,It can climb on glass.,Its eyes are glass-like.,It is almost transparent.,It breaks easily.
"What other common name is used for the New Caledonian bumpy gecko, a reptile found only on the southern end of the island of New Caledonia?",B,All of these,Gargoyle gecko,Devil gecko,Horny gecko
"This snake, the only existing member of its family, can be found in Mexico and has a very muscular body and a shovel-shaped snout.",D,All of these,Dwarf boa,Pipe snake,Loxocemidae bicolor
"What is unique about the reptile called tuatara, which is endemic to New Zealand and is sometimes called living fossils?",D,It has a well-developed third eye.,All of these,It has two rows of teeth in the upper jaw.,It is able to hear though it has no ears.
What feature of the turtle species Dermochelys coriacea makes it easily distinguishable from all the other sea turtles?,B,It has a very long tail.,It has no shell.,Its body has very vivid colors.,It has a horn on its head.
"In what geographical area is the Rock monitor lizard, or Legavaan, found?",D,South America,New Guinea,Australia,Africa
What is the smallest extant species of crocodilian on the planet?,B,Smooth-fronted Caiman,Musky Caiman,Spectacled Caiman,Yacare Caiman
Where is the natural habitat of sloths?,B,Central and South Asia,Central and South America,Australia and the island of Tasmania,South Africa
Which of these is true about the sloths diet?,D,Sloths are carnivores.,Sloths are autotrophic organisms.,Sloths are herbivores.,Sloths are omnivores.
Sloths have this number of toes and fingers depending on the family they belong to.,A,Two or three,Sloths do not have toes.,Four or five,One or two
What is the the body length of an average mature sloth from head to tail?,D,90-100 centimeters,70-80 centimeters,30-40 centimeters,50-60 centimeters
How many hours of sleep do sloths normally need per day?,C,20-22 hours,12-13 hours,Less than 10 hours,15-18 hours
About 50% of the weight of a well-fed sloth comprises of the food in its stomach.,B,True,False,,Q How long does it take for a sloth to digest its food completely?
Which of these names does not refer to a sloth?,C,Ritto,Rit,Rikki-Tikki-Tavi,Ridette
How many babies do female sloths give birth to per one pregnancy?,C,Four,Three,One,Two
Which of the following statements is wrong?,A,There are seven living species of sloths.,Two-toed sloths have only six cervical vertebrae instead of seven.,Sloths hairs grow away from their extremities instead of towards them.,Three-toed sloths have nine cervical vertebrae instead of seven.
What type of mammal is the kangaroo?,D,Monotreme,All of these,Amniote,Marsupial
What term is used to refer to the young of the kangaroo?,A,Joey,Mary,Jack,Wally
Which kangaroo species is the largest on the planet?,D,Antilopine Kangaroo,Western Grey Kangaroo,Eastern Grey Kangaroo,Red Kangaroo
What is the difference between the digestion of kangaroos and the digestion of ruminants?,C,Nothing,Kangaroos need to consume some animal matter to provide essential digestive bacteria.,Kangaroos do not release methane.,Kangaroos digest plant matter five times faster than ruminants do.
What does the diet of all kangaroos consist of in general?,B,All of these,Plant matter,Fungi,Plant and animal matter
"Apart from jumping, kangaroos are known for fleeing from predators using this tactic.",D,All of these,Playing dead,Climbing,Swimming
What kangaroo species set a record by moving with 64 kilometers per hour (40 mph)?,C,Eastern Grey Kangaroo,Great Grey Kangaroo,All of these,Forester Kangaroo
Male Western Grey Kangaroos were nicknamed Stinkers because they have this kind of odor.,B,Sour cabbage,Curry,Garlic,Gasoline
How do male kangaroos fight to win the privilege to fertilize the female?,B,They push each other.,All of these,They kick each other.,They hit each other by boxing.
What is the meaning of the word kangaroo according to legend?,C,I dont know.,Look at this!,I dont understand you.,What is this?
What other common name is used for a mudpuppy?,B,Water Canine,Waterdog,Mud Dog,Salamander
What type of animal is a mudpuppy?,D,skink,eel,fish,salamander
What is the average lifespan of a mudpuppy?,C,2 years,5 years,11 years,35 years
Mudpuppies breathe through gills when they are young and when they mature they use their lungs.,A,False,True,,Q Which of these statements is true about the mudpuppy?
Mudpuppies are carnivores.,A,True,False,,Q In which of the following states will you not find the mudpuppy?
Mudpuppies hibernate in the winter months.,B,True,False,,Q How long is the average mudpuppy?
The mudpuppy can produce noise.,A,True,False,,Q Wombats are endemic to this geographical area.
What does the diet of wombats consist of in general?,C,Small vertebrates,Insects,Plants,All of these
How many babies does the female wombat give birth to every spring?,D,Three,Four,Two,One
What unusual anatomical feature do wombats possess?,A,Their pouch faces backwards.,They dont have a spleen.,They dont have eyelids.,All of these
Wombats have an incredibly fast metabolism.,A,False,True,,Q Which of these wombat species is also known as Coarse-haired Wombat?
What way of defence do wombats use when they feel threatened?,D,All of these,Running,Climbing on trees,Kicking
What is the name of the smallest wombat species on the planet?,B,Northern Hairy-nosed Wombat,Southern Hairy-nosed Wombat,Common Wombat,None of these
What should a person do to escape the attack of a wombat in the wild?,A,Climb a tree,Run,Play dead,Jump in a river
"This species, also known as Yaminon, is the largest wombat species on the planet.",A,Northern Hairy-nosed Wombat,Northern Hairy-nosed Wombat,Common Wombat,None of these
On which continent can you find the turltle-dove during most of the year?,D,Australia,Antarctica,South America,Europe
Which continent does the turtle-dove migrate to in the colder winter months?,A,Africa,Australia,North America,Asia
Which of the following statements is true about the turtle-dove?,D,They are not related to the pigeon.,They have never been domesticated.,They are flightless,They are viewed as a symbol of love.
What is the expected lifespan of a turtle-dove?,D,28 years,9 months,7 years,20 years
What is the incubation period for turtle-dove eggs?,C,7 weeks,17-25 days,12-14 days,1 month
Which of the following makes the turtle-dove different from other birds?,A,They suck to drink instead of tilting their heads back.,When they hatch they can fly within 2 days.,They cannot make any sound.,They can fly backwards.
The turtle-dove is closely related to the raven.,B,True,False,,Q What are the main colors of turtle-doves?
The name of the turtle-dove is derived from the sound it produces.,A,True,False,,Q Turtle-doves tend to eat in their nests and high in the trees.
Which of these statements is not true about the vision of bats?,B,Most smaller bat species are blind.,All of these,All bat species are able to detect UV light.,All bat species have underdeveloped eyesight.
"What important bone-building mineral do the cartilage of bats finger bones lack, which makes them very flexible?",C,Potassium,Magnesium,Calcium,Iron
"What do megabats, also called flying foxes, feed on?",D,All of these,Carrion,Insects,Fruit and nectar
How do most bat species spend the cold winter months?,D,They migrate south to to regions with warmer climates.,They do not change their behavior in the winter.,None of these,They hibernate.
A bat is featured on the coat of arms of this Spanish city.,D,Palma de Mallorca,Fraga,Valencia,All of these
What status does the bat have in Chinese folklore and tradition?,B,It is believed to be an incarnated spirit.,It is a symbol of happiness and longevity.,It is considered a bad omen.,It is considered simply a pest.
What city in the US state of Texas is a home of the largest bat colony in North America during the summer?,B,Morton,Austin,Houston,Pittsburg
"What name is commonly used when referring to the bat species Vampyrum spectrum, also known as False Vampire Bat?",B,Phantom Bat,Spectral Bat,All of these,Ghostly Bat
What bat species is considered the largest in the world?,D,Livingstone’s Fruit Bat,Fijian Monkey-faced Bat,Hammer-headed bat,Golden-capped fruit bat
"What other common name is used for the Kittis Hog-nosed Bat, the smallest bat species in the world?",C,Wasp bat,Hummingbird bat,Bumblebee bat,Ladybug bat
During what geological time period did the ammonites evolve?,A,The Devonian period,The Silurian period,The Triassic period,The Carboniferous period
The nautilus is the closest living relative of the ammonite.,B,False,True,,"Q Name the largest known species of ammonite, which was found in Germany in 1895."
What is the greatest depth the shell of a nautilus can withstand before imploding?,A,800 meters,100 meters,300 meters,187 meters
Were the shells of all ammonites coiled?,A,No,Yes,,Q What is the average lifespan of a nautilus?
Ammonites lived on the ocean floor.,B,True,False,,Q Ammonites became extinct at the end of what geological period?
What flower remedy would be most beneficial to a stand-offish horse that gets irritated quickly and has a hard time accepting change?,C,Birch,Cerery,Beech,Cerato
"Aspen is beneficial to a horse that is nervous and anxious, shies at invisible objects in a familiar arena and bolts for no reason.",B,False,True,,"Q Rescue remedy is a combination of Rock Rose, Star of Bethlehem, Impatiens, Cherry Plum and Clematis essences."
All Bach flower remedies can be used by people.,B,False,True,,Q Up to how many different Bach remedies can you combine?
The Cerato essence is suitable for horses that withhold their emotions despite suffering from a pain or disease.,B,True,False,,Q Which of the following is used as a cleansing remedy?
"Salix vitellina is the scientific name of this essence usually given to a horse that appears to sulk, goes into moods and refuses any sort of attention.",C,Wild Rose,Wild Oat,Willow,Water Violet
"What kind of animals are the colugos, or cobegos, which is found only in Asia?",A,Mammals,Reptiles,Birds,Amphibians
"What other name is commonly used for the Japanese Macaque, a monkey native to Japan?",A,Snow Monkey,All of these,Whistling Monkey,Storm Monkey
Which of these Asian tortoise species is a very popular pet in many countries around the world?,B,Cuora,Russian Tortoise,Keeled Box Turtle,Rafetus
"What is the color of the legs, bill and eye rims of the Green Magpie, a small Asian bird with bright green plumage?",C,Purple,Blue,Red,Bright pink
To which Asian country is the Giant Panda native?,D,Indonesia,India,Japan,China
"What is the name of the smallest bat species on the planet, endemic to the Asian continent?",D,Mouse-tailed Bat,Sucker-footed Bat,Bulldog Bat,Kittis Hog-nosed Bat
"What name is used for the enigmatic bovid mammal Kting Voar, which is believed to populate Cambodia and Vietnam in Asia?",A,Snake-eating Cow,Lizard-eating Goat,All of these,Frog-chewing Sheep
"What sense of the Malayan Tapir, also called Asian Tapir, is underdeveloped?",A,Eyesight,Hearing,Smell,Touch
"How many horns does the Indian Rhinoceros, found only in Asia, have on its snout?",D,None,Two,Three,One
"What is the favorite food of the Fairy-bluebird, which is found only in Asia?",D,Goji berries,Grasshoppers,All of these,Figs
What term is used the denote the terrestrial stage of the development of the young newt?,A,Eft,Imago,Elf,Larva
"To what country is the Rhinoderma rufum, a species of frog from the family Rhinodermatidae, endemic?",C,India,United States,Chile,Brazil
"What is the literal translation of the Greek word amphibios, from which the modern word amphibian originated?",B,Water and land,Both kinds of life,Two in one,Water and air
What interesting characteristic do all amphibians called caecilians share?,A,They have no legs.,They are hermaphrodites.,They have four eyes.,They have external ears.
"What animal does the greater siren, a nocturnal amphibian, resemble externally?",A,An eel,A lizard,A gecko,A frog
Which of these statements is wrong about the Glass frogs from the amphibian family Centrolenidae?,B,They are arboreal animals.,They are found mainly in Australia and Tasmania.,All of these,Their skin is transparent.
"What other interesting name is used commonly to refer to the Purple frog, an amphibian endemic to the Western Ghats in India?",A,Pignose Frog,Chicken frog,All of these,Mole frog
What does the diet of the Eastern Tiger Salamander mainly consist of?,C,Shrimp,Leaves,Insects,Fish
"What behavior is typical of the Argentine horned frog, also known as Argentine wide-mouthed frog?",C,It never stops moving.,It sings almost incessantly.,It would eat up anything that comes in its eyesight.,All of these
Where does the female Suriname Toad keep its eggs until they develop into young frogs?,C,In its vocal sac,Between its hind legs,On its back,In its stomach
How many orders of trilobite are there?,D,9,3,15,10
What order of trilobite was the only one to survive the Devonian mass extinction?,A,Proetida,None of these,Phacopida,Lichida
Approximately how many species of trilobite existed over the duration of the Paleozoic?,C,"12,000","9,000","17,000","18,000"
Trilobites developed one of the first complex visual systems.,B,False,True,,Q Not all trilobites had eyes.
What genus and species did the largest complete trilobite fossil ever found belong to?,B,None of these,Isotelus rex,Isotelus maximus,Isotelus brachycephalus
The pygidium refers to what section of a trilobites body?,D,The head,None of these,The thorax,The tail
Which of the following is believed to be an ancestor of the trilobites?,C,Onega,None of these,Spriggina,Trichophycus
Did some trilobites filter-feed as a means of obtaining food?,B,No,Yes,,Q To what geographical region is the Aye-aye indigenous?
Which of these statements is true about the lemur Aye-aye?,D,It is the second smallest primate on the planet.,It is the second largest primate in the world.,It is the smallest nocturnal primate in the world.,It is the largest nocturnal primate on the planet.
"What physical feature does the lemur Aye-aye share with rodents, leading to its original classification in order Rodentia?",A,Very large incisors,Inability to vomit,All of these,Similarities in the digestive system
What unusual physical characteristic does the lemur Aye-aye possess?,C,Its pupils are constantly dilated.,It has 4 nipples.,It has extremely long fingers.,All of these
In what places does the nocturnal Aye-aye sleep during the daytime?,C,"On a branch, covering its body with a big leaf",Hanging from a branch.,On trees,In holes in the ground
Which of these statements is true about the reproduction of the Aye-aye?,A,None of these,The baby stays with its mother for a year.,Pregnancy lasts about 4 months.,It reaches reproductive age at 3 - 3.5 years.
Where did the name of the Aye-aye originate from according to common hypothesis?,A,All of these,From the Malagasy expression for I dont know,From the sound made by the animal,From an exclamation
How is the lemur Aye-aye classified according to its diet?,B,Herbivore,Omnivore,Carnivore,Specialized eater
What is the Aye-aye traditionally associated with according to ancient Malagasy legends?,D,Future marriage,Rain,Luck,Death
What is the name of the Aye-aye character from the 2005 animated comedy movie Madagascar?,A,Maurice,Marty,Mort,King Julien
To what geographic area is the koala endemic?,C,Tasmania,Australia and Tasmania,Australia,Australia and New Guinea
What unique feature do the the fingers of the koala possess?,B,There are six fingers on each leg.,They have fingerprints.,All of these,Each finger consist of 10 bones.
What does the diet of the koala almost exclusively consist of?,A,Eucalyptus leaves,Grass,All of these,Insects
"What term is used to refer to the infant koala, as well as to any other baby marsupial?",B,Jerry,Joey,Jimmy,Jelly
Which of these statements is true about koalas?,C,All of these,Keeping a koala as a pet is legal in the USA.,They were nearly erased from the planet due to hunting in the early 20th century.,"In August 1927, 100 000 koalas were killed."
"This fictional koala character, created by author Dorothy Wall, fist appeared in the 1933 book Jacko - the Broadcasting Kookaburra.",D,Nutsy,Jeremy,Noozles,Blinky Bill
What unusual anatomical characteristic does the koala possess?,D,The female has two vaginas.,The female has two uteri.,The make has a bifurcated penis.,All of these
The koala is the only animal species on the planet to possess this quality.,D,All of these,It sleeps with open eyes.,"When its hungry, it starts sucking on its tail.",Its brain size is extremely reduced.
"What does the Greek word Phascolarctos, denoting the genus to which koalas belong, mean?",B,Ash-colored,Pouch bear,Doesnt drink,Monkey bear
"When anxious, the koala produces a loud sound similar to the cry made by this creature.",C,Baby bear,Crow,Human baby,Rabbit
What is the literal meaning of the word giraffe considering its Arabic origin?,D,Unbelievable,Ambiguous,Scary,Tall
Which of these statements is wrong?,D,All of these,The giraffe is the largest ruminant.,The giraffe is the only surviving member of its family.,The giraffe is the only surviving member of its genus.
What term is used for the behavior exhibited by male giraffes that are engaged in a fight?,C,Hoofing,Tailing,Necking,Horning
Giraffes sometimes use their extremely long blue tongues for this purpose.,A,Cleaning insects from their face,Stealing eggs from birds nests,Playing games with other giraffes,All of these
Which of these giraffe subspecies is easily distinguished by the very light colored spots on its body?,D,All of these,South African Giraffe,Somali Giraffe,West African Giraffe
The horns of which giraffes are very often bald on top?,C,Babies,Females,Males,Very old giraffes
"Of all mammals, giraffes require the least amount of which of the following?",D,Vitamins,Food,Water,Sleep
This artiodactyl mammal is the closest surviving relative of the giraffe.,A,Okapi,Tapir,Llama,Zebra
What is the largest living subspecies of giraffe on the planet?,A,Masai Giraffe,South African Giraffe,Rothschild Giraffe,Nubian Giraffe
What method of defense do giraffes most often employ against predator attacks?,B,None of these,Kicking,They use their horns,Standing still
What does the name of the zebra literally mean?,A,Wild ass,Funny horse,Striped,Black-and-white
Which of the senses of zebras is generally underdeveloped and the animal cannot rely very much on it?,B,Smell,None of these,Hearing,Eyesight
What animal is the number one predator of zebras?,B,Jackal,Lion,Hyena,Crocodile
What is the term denoting a group of zebras that live together?,A,Harem,Pack,Stud,Herd
Unfortunately this fictional dog is constantly bullied by his buddy cat.,D,Snoopy,Lucky,Goofy,Odie
Which cartoon dog is one of Mickey Mouses best friends?,D,Happy,Minnie,Doggie,Goofy
Which Rough Collie was awarded a star on the Hollywood Walk of Fame?,C,Odie,Honey,Lassie,Beauty
What is the real name of the dog who first played the fictitious dog Benji in the series of Benji films?,B,Benji,Higgins,Arnold,Lassie
"This dog, whose name means barker in Russian, became the first living creature from Earth to enter orbit.",B,Mandy,Laika,Lucky,Sporty
"This dog, who first showed up in a Bud Light Beer Super Bowl ad, had a black circle around one eye.",A,Spuds MacKenzie,Blue MacKenzie,Long John,Spottie
"Name the Red Baron hunting Beagle from Charles Schultz popular comic strip, Peanuts.",D,Scooby,Lassie,Odie,Snoopy
This cartoon Great Dane often needs his nephew headstrong nephew to protect him.,A,Scooby,Odie,Scrappy,Snoopy
"Which of these is the most distinctive feature of one of the largest marine creatures, which is also known to be the best diver - the sperm whale?",C,Its huge vivid eyes,Its extremely long tail,Its enormous head,The unique curvatures of its fins
"Giant squids, for long believed to be mythical creatures, are a type of deep-ocean dwelling squid that can grow to a tremendous size. The giant squid also holds the record for the largest organ, in which of these bodily systems?",B,Digestive system,Visual system,Auditory system,Reproductive system
"In Herman Melvilles Moby-Dick, the leading character Ahab, consumed with the desire for revenge for his lost leg, mindlessly pursues a whale nicknamed Moby Dick. What type of whale is Moby Dick, according to the book?",A,Sperm whale,Baleen whale,Blue whale,Humpback whale
"This member of the oceanic dolphin family, named for its versatile predatory habits, cannot be mistaken with any other sea creature, due to its distinctive coloration - black back, white chest, sides, and a patch above and behind each eye.",A,Killer whale,Humpback dolphin,Pilot whale,Spinner dolphin
"In marine science, ichthyology, branch of zoology closely related to marine biology and oceanography, is the study of what?",B,Microscopic marine life,Fish,Marine mammals,Marine plant life
"Devilfish, a large species of ray, also called manta, was named such due to which of these characteristic features?",B,Its pointed tail,Two pointed lobes on each side of the head,Its hunting habits,"Extended, winglike fins"
"Periplaneta americana, Blattella germanica and Gromphadorhina portentosa are all species of this insect.",B,House fly,Cockroach,Stick Insect,Butterfly
It is the national insect of Canada and the state insect of Texas.,D,Ladybug,Cricket,Praying Mantis,Monarch butterfly
"Many Royal Navy and US Navy ships are named after this fearful insect. Not just that, but an F/A-18 aircraft and a Honda motorcycle also carry its name.",C,Tarantula,Cicada,Hornet,Yellowjacket
"The scarab, a sacred beetle to Ancient Egyptians, is commonly known as what?",A,Dung Beetle,Stag Beetle,June Bug,Noble Chafer
What is the common length of a full grown male Komodo Dragon?,D,11 feet,8 feet,6 feet,9 feet
The Komodo Dragon is NOT native to which of these islands?,D,Rinca,Flores,Gili Motang,Savalhi
How heavy was the largest verified wild Komodo Dragon?,D,154 lbs.,275 lbs.,200 lbs.,365 lbs.
The Komodo Dragon is venomous.,A,True,False,,Q What is the top speed that a Komodo Dragon can reach?
The Komodo Dragon is only one of 3 species of venomous lizards in the world.,A,False,True,,Q Which of these American zoos does NOT house Komodo Dragons?
Female Komodo Dragons can lay eggs without any contact with males.,A,True,False,,Q How fast can a black bear run?
Are all bears omnivores?,B,Yes,No,,Q Which of the following is not a nickname for a polar bear?
At what age can grizzly bears start to mate?,D,9 years,1 and a half year,7 weeks,4 and a half year
Do polar bears live in Antarctica?,A,No,Yes,,Q How many years does a mother grizzly stay with her cubs?
How many polar bear subspecies are there?,A,0,3,5,1
Which of these animals usually preys on black bear cubs?,C,Hedgehog,Garden snake,Cougar,Dog
What of these members of the bear family is the largest?,D,Black bear,Panda,Grizzly bear,Polar bear
Where do orphaned grizzly cubs Grinder and Coola live?,C,Yukon,Northwest Territories,British Columbia,Ontario
There are just 2 species of turkey in the world.,B,False,True,,Q Are wild turkeys very good fliers?
Turkeys are named after the country of Turkey.,B,False,True,,Q How many eggs does a turkey usually lay?
Turkeys like to roost high in trees at night.,A,True,False,,Q Turkeys were once threatened with extinction in America.
Did all Indian tribes of North America eat turkeys or consider them to be edible?,A,No,Yes,,Q Male turkeys are monogamous and will stay with one female for life.
A cats sense of hearing is much more sensitive than that of a human or a dog.,B,False,True,,Q How fast can a domestic cat sprint?
Which of these statements if true about a cat?,A,Their urine glows under a black light.,Normal body temperature for a a cat is 95 degrees Fahrenheit.,They take about 50 breaths per minute.,They walk on the bottoms of their feet.
The nose pad of a cat is unique like the human fingerprint.,A,True,False,,"Q According to a survey, what percentage of American cat owners admit to blow drying their feline after giving it a bath?"
Which type of cat is almost always female?,A,Calico,White,Persian,Siamese
Cats have 517 of these in their entire body.,C,Claws,Whiskers,Muscles,Bones
Indoor cats tend to live longer.,A,True,False,,Q What year was the very first cat show held?
Which of these is not one of the most popular names for female cats in the USA?,C,Missy,Pumpkin,Socks,Tigger
Finish this old phrase:,,"hen you call a dog, he comes right over to you. When you call a cat, she________________.",takes a message,climbs the curtains,takes a message
On what continent can aardvarks be found?,A,Africa,Asia,South America,Australia
Are aardvarks an endangered species?,B,Yes,No,,Q What is the scientific name for an aardvark?
Aardvark is a word coming from the Afrikaans/Dutch that literally translates as what?,D,Long Nose,Ant Eater,Pig Like,Earth Pig
How many young can an adult aardvark have at one time?,C,6,up to one dozen,only 1,3
What is the gestation period for an aardvark?,D,1 full year,9 months,3 months,7 months
Are aardvarks nocturnal animals?,A,Yes,No,,Q Aardvarks have more olfactory nerves than other mammals.
Which one of these statements about aardvarks is false?,D,Aardvarks are hunted for meat.,Aardvarks are color blind.,Aardvarks are nocturnal.,Aardvarks only eat termites.
What color was the aardvark from the Pink Panther cartoon?,B,Red,Blue,Pink,Gray
What is the gestation period of a dolphin?,A,Varies by species,16 months,9 months,12 months
The Orca (Killer Whale) is the largest species of dolphin.,A,True,False,,Q Which of these is NOT a species of dolphin?
Dolphins are only found in the ocean.,A,False,True,,Q What year was named by the United Nations as the Year of the Dolphin?
"Approximately, how many species of dolphins exist?",B,20,40,30,12
Are all dolphins considered whales?,B,No,Yes,,Q Where in the world can you find the dolphin known as the Boto?
What is the scientific name of the Common Raccoon?,C,Procyon cancrivorus,Procyon nelus,Procyon lotor,Procyon insularis
Which of these in NOT a species of raccoon?,B,Common Raccoon,Tree Raccoon,Tres Marias Raccoon,Crab Eating Raccoon
"In Toronto, Canada the raccoon has become a great urban pest, only exceeded by the Gray Squirrel.",A,True,False,,Q Is the raccoon native to Europe?
Are badgers related to weasels?,A,Yes,No,,Q How many young can an adult badger have at one time?
The badger can be found in every part of the lower 48 states.,A,False,True,,Q Can you find badgers in Europe?
Which of these is not a part of the badgers diet?,A,Insects,Birds,Ground squirrels,Rattlesnakes
Badgers like to use one den all year round.,B,True,False,,Q Are badgers the largest native carnivores found in the UK?
The expression badgering someone” came from the cruel sport of badger baiting.,B,False,True,,Q Which of the following octopuses could most easily kill a human?
How many hearts do most octopi have?,C,2,1,3,0
Which of the following best defines the octopus related word midden?,A,a pile of shells,a burrow in the sand used as a den,a hole in the rock face or corral used as a den,a chemical in the ink sprayed from an octopus siphon
Octopi live alone all their lives except when mating.,A,True,False,,Q The octopus is considered the smartest invertebrate.
Which of the following is the name for an octopuss tongue?,D,Siphon,Hemetoy,Mantle,Radula
Octopuses have excellent vision. Which of the following statements about an octopuss vision is NOT true?,D,They can see well at night.,They can see in depth.,They can make out size and shape very well.,They can see in color.
Which of the following octopi has the scientific name Enteroctopus Dofleini?,B,None of these,Giant Pacific Octopus,Common Octopus,Blue Ringed Octopus
Which of the following words is NOT related to the octopus?,D,Chemoreceptors,Chromatophores,Ambush,Tentacles
What two continents did Smilodon inhabit?,A,North and South America,Europe and Asia,Europe and Africa,Asia and Africa
How much could a full-grown Smilodon weigh?,C,525 lbs.,350 lbs.,450 lbs.,400 lbs.
Is it believed that Smilodon was a social animal?,A,Yes,No,,Q Which species of Smilodon was the largest?
Approximately how long ago did Smilodon become extinct?,C,"5,000 years","20,000 years","10,000 years","15,000 years"
The Tomato Frog is native to the eastern coast of Madagascar.,B,False,True,,Q What king of habitat do Tomato Frogs live in?
Tomato Frogs existence is threatened due to what reason?,A,Habitat destruction,Their legs are used for food in fine dining restaurants.,They are hunted for their oils that are used as a skin moisturizer.,Flooding
Tomato Frogs tend to hit sexual maturity in about 9-14 months.,A,True,False,,Q Male Tomato Frogs are bright red.
Female Tomato Frogs are larger than male Tomato Frogs.,B,False,True,,"Q When Tomato Frogs are in captivity at a zoo, what kind of food are they fed?"
Tomato Frogs lay their eggs in the water during rainy seasons.,A,True,False,,Q The life span of a Tomato Frog is 15-35 years.
When the Tomato Frog is threatened its skin secretes a thick substance containing a toxin.,B,False,True,,Q The manatee is a marine mammal.
The manatee has a tail similar in shape to that of the dolphin.,B,True,False,,Q Manatees range in weight from 900 to 1200 pounds (400-550 kg.)
"Manatees are found more commonly in Caribbean, Mexico, and Florida waters. Why?",C,The water is cool.,There is a better food variety.,The water is warm.,The water is salty.
Which of these do manatees use to communicate with their calves and other manatees?,B,Sounds,All of these,Touch,Movement
Due to the presence of a specific protein in the blood plasma octopuses have this unusual blood color.,A,Blue,Black,Bright green,Fluorescent pink
Some animals have an inborn instinct to swallow gastroliths in order to improve the breaking down of food inside their stomachs. What kind of objects are gastroliths?,A,Rocks,Plants that are rich in digestive enzymes,Insects,Excrements
"Parthenogenesis (from Greek - virgin creation), an asexual way of reproduction without the need of fertilization, occurs naturally in these animals.",A,All of these,Birds,Reptiles,Fish
Which of  the following statements is true about mosquitoes?,A,Only female mosquitoes suck blood.,Only male mosquitoes suck blood.,All mosquitoes on the planet drink blood.,Only baby mosquitoes drink blood.
What kind of respiratory organs do lungfish have?,A,They have both lungs and gills.,Lungfish do not have any respiratory organs. They absorb oxygen through their skin.,They breathe only with gills.,"They do not have gills, they use their lungs for respiration."
Cockroaches are among the most resilient creatures on our planet. But how long can they survive without air?,B,60 minutes,45 minutes,10 minutes,2 hours
Human skin has the unique ability to acquire a darker shade when exposed to UV-rays. What animals share this ability with us?,C,Dolphins and seals,Chimpanzees and gorillas,Pigs and hammerhead sharks,All reptiles and anthropoid apes
Koalas almost exclusively feed on this type of food.,C,Bottle tree leaves,Tea tree leaves,Eucalyptus leaves,Bamboo leaves
Which of the following statements is true about snails?,B,None of these,Snails do have tooth-like formations.,Snails do not have any teeth or tooth-like formations.,Snails have real teeth very similar to those of mammals.
Some sharks hardly ever stop swimming during their whole existence. What is the reason for this?,D,Some sharks are very desirable hosts for small parasitic creatures. Those sharks are constantly trying to escape from them by incessant swimming.,Sharks are highly anxious and easily agitated animals. They cannot stay in the same place for more than a few seconds.,"Sharks are cold-blooded animals. If they stop moving their body temperature will decrease too much and will cause hypothermia, which can be lethal.","Some sharks have lost the ability to pump water through their gills, so they need to keep moving in order to stay alive"
"The Mimic Leatherjacket, found in the tropical marine waters throughout the Indo-Pacific, mimics which poisonous fish?",C,Red Bass,Hogfish,Saddled Puffer,Stonefish
